PULocationID,trip_distance,passenger_count,fare_amount,tip_amount,total_amount
193,7872.63,6739,49085.64,2418.74,58184.05
194,7310.1,2022,37352.36,6015.57,50994.18
195,3866.48,948,16147.72,1277.86,19765.76
196,4032.36,1069,18726.91,1911.94,23127.49
197,4111.54,862,21709.89,1803.71,25779.42
198,1180.98,367,4960.2,183.32,5603.15
200,1282.8,247,5000.46,256.48,5739.57
201,307.76,57,2291.31,10.91,2488.03
202,1422.41,519,6861.41,727.04,8370.62
203,1184.58,253,5878.03,75.74,6260.07
204,51.83,9,572.39,16.05,623.4
205,3477.84,565,14998.13,30.26,16006.94
206,247.91,35,1320.3,5.92,1610.64
207,741.27,665,4292.59,608.34,5680.42
208,1283.54,268,6266.17,251.28,7222.7300000000005
209,64624.71,24803,256956.04,39194.49,355102.57
210,1679.77,461,9576.2,96.99,10246.29
211,144546.66,95199,705932.09,124691.96,1051774.1900000002
212,1092.7,305,4644.02,944.0699999999999,6086.95
213,2803.11,549,10438.22,173.12,11854.02
214,10.3,7,192.66,7.5,212.45999999999998
215,12862.24,1489,48363.22,6192.24,61889.95
216,9627.58,1586,52501.93,6207.11,64150.2
217,1564.47,666,6942.2,561.57,8258.73
218,2404.98,458,10081.01,100.09,10918.48
219,9205.63,946,35451.57,3645.4,43306.64
220,1513.14,433,6277.2,237.77,7123.63
221,93.05,19,490.5,227.31,761.85
222,2092.59,300,9044.34,109.05,9655.72
223,18956.17,5623,90250.26,11982.11,117692.16
224,37238.5,22999,173944.77,29211.23,258151.06999999998
225,3545.1,1072,15716.46,580.35,17545.05
226,36352.25,15706,185659.79,21216.04,233747.65
227,1016.5,232,4588.06,157.31,5108.7
228,2859.72,943,14469.36,1037.89,16957.4
229,303459.2,218855,1480451.76,266742.12,2273363.8399999985
230,727115.98,402532,3389514.54,570729.2000000001,4993307.11
231,392737.02999999997,201781,1735542.6,306610.93,2524940.2999999984
232,35892.01,17268,159988.05,22631.07,221857.53
233,259747.09,155189,1222162,218291.19,1839204.7399999993
234,470817.77,350514,2456406.89,469895.48000000004,3778924.709999997
235,1768.01,561,7698.5,62.57,8347.34
236,589679.54,482699,3093747.55,574397.29,4811978.9799999995
237,609518.35,537544,3344454.74,610833.09,5236655.880000002
238,326318.9,235977,1586681.18,285282.69,2401735.579999998
239,426463.16,318110,2094959.34,390466.41000000003,3235624.7799999975
240,174.86,50,1361.1,26.78,1451.28
241,1157.49,303,6447.62,269.26,7170.92
242,1441.08,497,7027.87,117.78,7777.46
243,5604.54,2117,24003.84,2019.3,28815.51
244,33524.83,13522,136791.58,14351.71,169182.16999999998
245,145.23,13,456,7.52,512.12
246,303065.03,200922,1513493.46,274202.96,2265292.109999999
247,4459.62,1836,19396.64,1177.25,22692.37
248,1053.85,295,4637.86,213.95,5356.14
249,329802.24,227935,1589472.94,302336.43,2436550.9999999986
250,952.48,284,4080.36,159.87,4703.37
251,205.17,45,816,153.43,1099.65
252,1012.73,156,4728.88,224.01,5385.9
253,167.5,15,603,83.78,739.7
254,2099.7,389,8584.76,100.23,9464.42
255,19455.83,9307,80949.22,12211.88,105374.39
256,15684.9,7156,67114.89,9267.37,86899.48
257,1190.27,374,5648.14,458.72,6752.14
258,1481.01,285,6297.41,123.18,7015.66
259,832.89,219,3727.2,53.4,4063.04
260,12825.66,6004,64198.06,5924.07,79605.42
261,180283.76,70944,747109.26,114953.02,1031423.6500000001
262,216178.59,144325,999559.17,179861.63,1524581.8099999996
263,297437.42,214407,1390106.05,253800.9,2156283.049999999
264,164517.75,105071,985342.99,160046.28,1327524.5099999998
265,12705.37,6194,293836.61,36891.42,345612.69
